review,rating,date,bank
💪,5,2026-07-15,CBE
good apks,5,2026-07-15,CBE
why the least dontaion must be 5 birr since before we can donate with one birr,2,2026-07-15,CBE
It stopped working completely after the latest update. It opens when I enter my pin but closes itself back when I try to do anything in it! I have tried to fix it in many ways but it still doesn't work 😏,1,2026-07-15,CBE
It's a good application that enable us to transfer easily than the previous #889.,4,2026-07-15,CBE
"Hello CBE Support Team, After installing the latest update, the app keeps crashing after I log in. This makes it difficult to access my account and use the banking services. Please investigate and fix this issue as soon as possible. I would also like to report that the airtime purchase limit is too low and is not sufficient for many users. Please consider increasing the airtime purchase limit to better meet customer needs.",2,2026-07-15,CBE
not interested in the update accessibility option and having google play store is mandatory not usable in emulators try to compromise majority customers phone,3,2026-07-15,CBE
"not working,it closes automatically when I open it after I updated it to the latest version",1,2026-07-15,CBE
በጣም ቀርፋፋ ስራችሁ መስተንግዷችሁ 0 ነዉ ለደንበኛ ያላችሁ ንቀት ደሞ በጣም ይገርማል,1,2026-07-15,CBE
it is not working for me and stopped me from using at all.,1,2026-07-15,CBE
very nice,5,2026-07-15,CBE
disappointing app after recently upgraded,1,2026-07-14,CBE
when most app update it's working better and more future. this CBE mobile banking become the worst and confusing all the user the developer can't fix the problem . even more led you to manipulate the normal phone settings and confusing the user.,1,2026-07-14,CBE
the app kept crashing,1,2026-07-14,CBE
wow,5,2026-07-14,CBE
This app very nice for any work,5,2026-07-14,CBE
good ap,5,2026-07-14,CBE
It doesnt open,1,2026-07-14,CBE
its good but the service charge penalty is very high,2,2026-07-14,CBE
Mumtaz,5,2026-07-14,CBE
"it's best mobile banking that you can rely on, getting full service for your desire....",5,2026-07-13,CBE
so esie & perfect app,5,2026-07-13,CBE
not bad,3,2026-07-13,CBE
"The previous update was but when I tried to login after a while , it asked me to update the app which I did. Then when I came back to the app afyer the update , it kept displaying red saying some sort of app has a better of it. So , it doesn't work. I tried looking for what app was causing the problem but I couldn't find. please do something about this issue.",3,2026-07-13,CBE
"it is best to use, well I am passibg you greet goid app.",5,2026-07-13,CBE
Nice application but it has more updates which leads to fraud .,5,2026-07-13,CBE
frequent updates...,4,2026-07-13,CBE
"The New Update is Great, but won't you try to add Dark Mode? like almost 80% of uses around the world prefer Dark Mode, that's the truth...",4,2026-07-13,CBE
so good,5,2026-07-13,CBE
waaw,5,2026-07-13,CBE
the reason i didn't rate the app 5 star is because it doesn't transfer to telebirr super app,4,2026-07-13,CBE
just today after I fill my secret code keeps shutting down other wise this app is fine.,5,2026-07-13,CBE
Great app🙏🙏,5,2026-07-13,CBE
excellent,4,2026-07-12,CBE
"After it ask me to update this one i update it but after that it shows me "" Your access has been suspended "" what is going on?",1,2026-07-12,CBE
Good Apps C/ Bank of Ethiopia,5,2026-07-12,CBE
It's secure and easy to transfer money,5,2026-07-12,CBE
I like this app,5,2026-07-12,CBE
excellent app.,5,2026-07-12,CBE
Good Apo,5,2026-07-12,CBE
The previous versions are more suitable to use to especially during sending money; the pattern enter account number enter and check the owner then write the amount and send money is correct while this version makes you mistake when you send money.,2,2026-07-12,CBE
why always țhis app needs update!???,5,2026-07-12,CBE
good job,5,2026-07-12,CBE
its is not working at all after update itself so olease do smotehing for better experience we are struggling with this app problems.,1,2026-07-12,CBE
not reliably,1,2026-07-12,CBE
how many time we update😡😡😡😡😡,1,2026-07-12,CBE
More & more...!,5,2026-07-12,CBE
Nice job,5,2026-07-12,CBE
More important app ever.,1,2026-07-12,CBE
if the system is changed on your mobile change by self,5,2026-07-12,CBE
"I think this app developer doesn't know much about how useful accessibility settings are. Instead of giving you a warning and letting you pass, they suspend your access. Guys, don't remove any app from Accessibility settings unless you have unknown apps. Instead, use *889#, Abyssinia, or Telebirr!",1,2026-07-12,CBE
cant work without disabling accessbility and dev settings? no banking app has ever gone such lengths and this is an invasion of privacy.,1,2026-07-12,CBE
የተለያዩ ባንኮች ስንልክ ትቆርጣላችሁ,1,2026-07-12,CBE
keep it,5,2026-07-12,CBE
wasebayu,1,2026-07-12,CBE
very amusing app,5,2026-07-12,CBE
good app for services,5,2026-07-12,CBE
excellent service!!!,5,2026-07-12,CBE
keep going cool.enough,5,2026-07-11,CBE
its good,5,2026-07-11,CBE
አፕደት ካደረኩ በሀላ ሊሰራ አልቻለም ምንድን ነው ችግሩ?,4,2026-07-11,CBE
I need to work well in my account,5,2026-07-11,CBE
why ask update always,1,2026-07-11,CBE
Badb app,1,2026-07-11,CBE
"""The login and PIN option issue from the previous update has now been completely fixed. I can fully access my account again. Thank you for the quick resolution and support!""",5,2026-07-11,CBE
it is boaring updating every day!,4,2026-07-11,CBE
why i can't a get a good statement in pdf like showing the date,3,2026-07-11,CBE
incomparable,5,2026-07-11,CBE
"After the update all saved beneficiary data is lost. If this isn't an example of an extremely poor data migration handling, I don't know what is.",1,2026-07-11,CBE
this application is not running on my phone it says emulator detected what can i do??,1,2026-07-11,CBE
🤬,1,2026-07-11,CBE
why doesn't work transfer to other telebirr account it work only own telebirr account,5,2026-07-11,CBE
amazing app,5,2026-07-11,CBE
baay'ee bareedaadha,3,2026-07-11,CBE
አንደኛ ነወ 100%,5,2026-07-11,CBE
"When I open the app, it closes on its own. Thinking it might be an issue with my phone, I deleted the apps I had installed, but it still doesn't work.",1,2026-07-11,CBE
app is good but if you want see transaction history there you will not find what you want,1,2026-07-11,CBE
why does it keep asking me to update and took for so long to update. the worst mobile banking app..,1,2026-07-11,CBE
the best app of all time,5,2026-07-11,CBE
Best App and easy to use,5,2026-07-11,CBE
it's not working for me,1,2026-07-11,CBE
best application,5,2026-07-11,CBE
why day to day update its borring,1,2026-07-11,CBE
is this software prepared by ethiopians?,1,2026-07-11,CBE
maali app akkanaa,5,2026-07-11,CBE
ምርጥ መተግበሪያ እናመሰግናለን,5,2026-07-11,CBE
"Big ups to the devs for delivering a fast and responsive experience with a clean and good looking UI which the CBE app was lacking for a long time, since the first launch. While my appreciation is intact but this new update is highly interfering with the users accessibility settings requesting for the user to desable apps that have an elivated permissions such as the ability to detect when power off system Ul appears on the screen. I believe users with unique configuration will be affected",4,2026-07-11,CBE
Good job,5,2026-07-11,CBE
