review,rating,date,bank
የመጨረሻውን መተግበሪያ ካዘመንኩ በኋላ የአሻራ ማስገቢያውን ብቻ ሰጥቷ መጀመሪያ በpin code አስገባ ብሎ ጠይቆ pin code ማስገቢያ የለውም።,1,2026-07-07,CBE
just updated z app & now i can't get in. it only shows biometrics but says 'sign in with your PIN first' but there's no pin option. fix it now,3,2026-07-07,CBE
i love thise app,5,2026-07-07,CBE
The update made just a moment ago is a trash. I can't even log into my account. Why?,3,2026-07-07,CBE
today's update is the worst. I can't access my account after update. please fix it now.,2,2026-07-07,CBE
"The new update July 7, 2026 it asks to enter the pin but there is no pin entry keypad only finger print section but it keep asks for pin. can you fix it please.",2,2026-07-07,CBE
Every update seems to break something. Could you stop beta testing on us.,1,2026-07-07,CBE
ዛሬ የለቀቃችሁት update ላይ pin ቁጥር ማስገቢያ የለውም አሻራም አይቀበልም ምንድነው ሀሳባችሁ???,1,2026-07-07,CBE
best app ever,5,2026-07-07,CBE
"Since the Last update , the app keeps crashing",2,2026-07-07,CBE
Commercial Bank of Ethiopia mobile banking App fast and responsive.,5,2026-07-06,CBE
biruk girm,5,2026-07-06,CBE
Introducing the first iOS release of CBE Next. New toggle-based experience for easier navigation and access to services. - Improved user interface with a modern and intuitive design. - Enhanced performance and responsiveness for a smoother experience. - General stability improvements and bug fixes,5,2026-07-06,CBE
it always says your developers option is on. I have to turn on developer options then turn it of them force stop the app then and only then it works. this hapnes every 2-3 days. it's a terrible experience. it never did that with the old version,4,2026-07-06,CBE
CBE my proud! I love the new digital update and really appreciate it.,5,2026-07-06,CBE
It is great .,5,2026-07-06,CBE
you guys were faked out about that in adverstmen from television that you would give mastercard by just rejestering then sending to request that you will give now I been waiting for like 2 weeks 😵‍💫 you could just not say and save money by not spending in usless things and not confusing us,2,2026-07-05,CBE
highly appreciated.,5,2026-07-05,CBE
it's best app,5,2026-07-05,CBE
full of bugs,1,2026-07-05,CBE
itis best app for me,5,2026-07-05,CBE
𝒂𝒃𝒃𝒊,5,2026-07-05,CBE
"I am not new for the digital service but the new system updated made out cast and caused to visit branch frequently denying access after a few successful services, may I ask CBE what should I do to get a normal service?",5,2026-07-05,CBE
wawe app good,4,2026-07-04,CBE
good,2,2026-07-22,BOA
ይህ አፕ በፊት ሲሰራ ነበር በቴክኖ ስልኬ ላይ ከትንሽ ሳምንታት ጨበኋላ በራሱ መንገድ ጸጥ ምን እንደጎደለው ምን እንደሆነ ብቻ የአፑ ችግር መሠለኝ ብየ ለማትም ሲሰራ ስለቆየ እንዴት?!,5,2026-07-21,BOA
thanks You,5,2026-07-21,BOA
goood,5,2026-07-21,BOA
getandale anlay fetene,5,2026-07-20,BOA
best app,5,2026-07-20,BOA
"When I press the show balance button, it logs out automatically.",1,2026-07-18,BOA
its good,3,2026-07-18,BOA
well expriences,5,2026-07-18,BOA
nice,5,2026-07-17,BOA
"extremely very dissatisfied and the bank had disabled my mobile banking for three weeks and unfortunately i had new phone without my permission and without a mobile banking they shut my old mobile banking phone and transfer all information to my new mobile banking phone, for some reason i went there and i wrote a coplaint in their website they criminals and lawless they should punished according by the country law.",1,2026-07-16,BOA
I have registered with Abyssinian Bank with National ID a year ago but I have not downloaded and opened its mobile banking app on my phone and now I live in Arabia How can I use it? Oh🥺,2,2026-07-14,BOA
👍👍👍,5,2026-07-12,BOA
best,5,2026-07-10,BOA
has performance consistency issue ..this will result reliability issue ..,3,2026-07-10,BOA
It stops while opening.,1,2026-07-09,BOA
it's not opening quickly what's problem?,1,2026-07-08,BOA
always crushing.,1,2026-07-07,BOA
It says your 'developer option' is on and prevent us from logging in. It is off and the app couldn't detect it. Shall we change our bank and the app we use? or could you fix this?,1,2026-07-06,BOA
ኧረ አብዴት አርጉት አንዳንዴ የኔትወርክ ችግር ሳይኖር እንኳን ለመክፈትና ለመክፈል በጣም እየቆየብን ነዉ ሌሎች ባንኪንግ አፖች ፈጣን ናቸዉ ይሄ አሁን ከቅርብ ጊዜ ወዲ መዘግየት ጀምሯል,1,2026-07-05,BOA
👌,1,2026-07-02,BOA
BoA is so good to be true working perfectlly.thanks.,5,2026-06-26,BOA
Nothing could work for me.,1,2026-06-25,BOA
very good good Developer,5,2026-06-21,BOA
nice app,5,2026-06-18,BOA
not working this app,1,2026-06-18,BOA
can i created my bank,5,2026-06-18,BOA
bank of abysinia is the best Bank in Ethiopia also it's my favorite,3,2026-06-15,BOA
"The most frustrating banking app I have ever used. The app keeps crashing at random times, whenever I hit the button to un hide my account balance in the home page the app automatically signs me out, other times whenever I start the app it opens in landscape and crashes, very frustrating.",2,2026-06-13,BOA
amazing,5,2026-06-12,BOA
"I got problem instal the App from play store, it shows error massage "" the app is no longer compatible with this device"" My phone is Redmi Android Version 10. please solve it.",1,2026-06-11,BOA
"Dubartii bareedduu waliin jaalala yoo jalqabde,wanti beekuu qabdu Yoo xiqqaate guyyaatti dhiironni 3 carraa isaanii ni yaalu,kana jechuun torbanitti dhiirota 21,waggaatti dhiirota 1095 ... ta'a jechuudha. Ammagaa natti himi,jaalalleen kee si'a 1095 lakkii jechuu dandeessii?😉😃 Ani hin jenne qofa kan jedhe #Robert Mugabe dha malee. Kanaf fedhaa mata Kenya fokistu filano godhanera🤭🤭",5,2026-06-09,BOA
easy and fast app,5,2026-06-09,BOA
"I thought you guys needed us to use the app...recently I'm having a terrible experience with the app...I can't Send money to other banks, another Abyssinia account or my wallet ...I mean what is the point of the app if it doesn't perform the basic tasks that it is designed to do...what a shame",1,2026-06-08,BOA
keep it up,1,2026-06-06,BOA
its unbelievable that with all the modern technologies still they are struggling to keep up with the mobile banking service. do better....,1,2026-06-06,BOA
The App is Good for Me,5,2026-06-06,BOA
Boa mobile is not responding!,1,2026-06-02,BOA
wow,5,2026-05-31,BOA
when i use the app to check the balance it automatically signs out from the app...u better correct it.,1,2026-05-31,BOA
BOA my favorite bank ever,5,2026-05-30,BOA
betam aza yehone app,1,2026-05-30,BOA
Boa mobile banking isn't responding,5,2026-05-29,BOA
😍 😍😍😍,5,2026-05-28,BOA
How i can open?,5,2026-05-26,BOA
"Nowadays My balance doesn't show, whenever I click on it, Automatically log off (Sign out). Need to fix.",3,2026-05-22,BOA
Excellent App,5,2026-05-20,BOA
Genet Dereja,5,2026-05-20,BOA
good app,5,2026-05-20,BOA
easy to access,5,2026-05-20,BOA
doesn't work,1,2026-05-19,BOA
It gave me a headache. bad bad bad,1,2026-05-18,BOA
Tilku,5,2026-05-18,BOA
the transaction is not working???? fix it,1,2026-05-18,BOA
sometimes The App Is not goibg through,3,2026-05-17,BOA
"The worst app, also bank am begging for my own money",1,2026-05-16,BOA
was Good 🙏,5,2026-05-16,BOA
cool,5,2026-05-15,BOA
Its Good,5,2026-05-15,BOA
this app is good but the speed of app is very slow,2,2026-05-11,BOA
boa the best,5,2026-05-08,BOA
bank of absiniya is best bank in ethiopian,5,2026-05-07,BOA
አስተማማኝና ዘመኑን የዋጀ,4,2026-05-05,BOA
extremely slow app and unreliable for most payment i have stuggled to much with this,2,2026-05-03,BOA
Amazing app,5,2026-05-02,BOA
"I tried to oppen mobile app of BOA, but it can't work on my phone after activation. I can't login to it. the staffs tried their best and asked me the android version which is 16 and clear the catches, reinstall the app but the same restult × close the app. disappointing",1,2026-05-01,BOA
nice app 👍👍👍,5,2026-04-29,BOA
easy to understand,4,2026-04-28,BOA
a wonderful Bank success app in Ethiopia 🇪🇹,5,2026-04-25,BOA
there's an error in app i don't ever know what's the case,1,2026-04-24,BOA
BoA always❤,5,2026-04-24,BOA
the worst app,1,2026-04-24,BOA
what an amazing service,5,2026-04-23,BOA
abezash,5,2026-04-23,BOA
😁😁ል,4,2026-04-23,BOA
Not working,4,2026-04-22,BOA
everything new that other banks started abyssinia started it but this one year have been a disaster the mobile banking crashes everytime please do what you do best,1,2026-04-20,BOA
"the best applcation,, how can winning byd car 😭🤣🤣",5,2026-04-20,BOA
"the app does not show my account balance correctly compared to what I get with the SMS notification. Again and again I am not able to make transfers because the app has issues. The app has over years now frequently problems, doesn't load, or is sometimes not working entirely and I can not open it. Even to the point that I question the rating of this app if it's true or distorted. I am not sure how it can be 4 stars something, when in real life the app just doesn't work a lot of the time.",1,2026-04-19,BOA
excellent service,5,2026-04-18,BOA
it very slow to access the app when urgent,1,2026-04-17,BOA
very Good app,4,2026-04-16,BOA
best i ethiopia,5,2026-04-16,BOA
when i try to see my balance the app logs me out.i try to uninstall the app and install it when i try to login again it says login expired.the worest mobile banking in ethiopia. fix it,1,2026-04-15,BOA
like,5,2026-04-14,BOA
Why transfer to telebirr agent doesn't work?,3,2026-04-14,BOA
best 👌 app in entire industry,5,2026-04-14,BOA
besst app,5,2026-04-14,BOA
good 👍,5,2026-04-13,BOA
ksanet hayle,5,2026-04-11,BOA
this app is not use my pbone android 16 and not fix boa nearest branch how to use this app,1,2026-04-11,BOA
"disappointing experience .couldn't even do transactions ,so slow .you should check and update it please",1,2026-04-09,BOA
poor functional and also very interactive customer service at branch,1,2026-04-09,BOA
low networks,4,2026-04-08,BOA
Fast& Modern,5,2026-04-08,BOA
it's not working always says error occured,1,2026-04-06,BOA
fast and reliable app,5,2026-04-02,BOA
እረተውኝ,5,2026-04-01,BOA
updte,3,2026-04-01,BOA
"Personal opinion: If Abyssinia Mobile Banking allows you to use data from the SIM card where banking is activated, for example, if the connection to the WiFi router stops, if it is possible to use the SIM card where it was activated, and if the password can finally be re-entered 🙏",5,2026-03-31,BOA
stupid app! when i try to send money it says error occured,1,2026-03-31,BOA
Boa yleyal,5,2026-03-31,BOA
lovely,2,2026-03-30,BOA
other bank is very slow,5,2026-03-30,BOA
When transaction done form BOA to Other Bank accounts the receipt does not include the name of receipant(the who receive the money),4,2026-03-29,BOA
Niyse,5,2026-03-29,BOA
my choice BOA,5,2026-03-28,BOA
በጣም ጥሩ ነው,5,2026-03-28,BOA
smart app,5,2026-03-28,BOA
emails connect to pone numbers link all the city banks by location naw,5,2026-03-28,BOA
My favorite app,5,2026-03-28,BOA
very good,5,2026-03-28,BOA
smart app smart bank,5,2026-03-27,BOA
You can't rely on Abyssinia. They are the worst,1,2026-03-26,BOA
its the the bank of bank,5,2026-03-25,BOA
beti araya,5,2026-03-24,BOA
ok app,5,2026-03-24,BOA
something is wrong,2,2026-03-24,BOA
abanamu boriifuu hindhabamu horiinu ajiraanu woliinuu,5,2026-03-24,BOA
good up except some sluggishness,5,2026-03-23,BOA
it is not bad it just ok,4,2026-03-23,BOA
well,1,2026-03-22,BOA
i can't transfer money to other bank. 😒😒,4,2026-03-22,BOA
cheru birhanu,1,2026-03-22,BOA
This app good b/c reduce my time,5,2026-03-22,BOA
Machin tecnoloj,3,2026-03-22,BOA
developer option offe,1,2026-03-22,BOA
"Bank of Abyssinia used to be the best for me, but now I don’t think so. I spent the whole day at the branch trying to fix my mobile banking, yet nothing changed. I was asked repeatedly for my ID and signature without any real solution. It’s disappointing and frustrating to see such poor service. I expected much better 🙏 Please fix this urgently 🙏",1,2026-03-22,BOA
good!,4,2026-03-21,BOA
BoA Mobile app,5,2026-03-21,BOA
it is simple and fast app,5,2026-03-21,BOA
awful,1,2026-03-21,BOA
ቤጣም ጥሩ ነው ግን ኖ ፍጥነት ብዙ ስታክ ኦኬ,5,2026-03-20,BOA
awesome and fast app it uses to do my work easier..🥰,5,2026-03-20,BOA
simple and fast,5,2026-03-20,BOA
very good appreciation trusted,5,2026-03-20,BOA
very nice app u love it,5,2026-03-19,BOA
happy,4,2026-03-19,BOA
The worst banking app ever. When I toggle the balance button it shows session expired. I can't even check balance😔,1,2026-03-19,BOA
Secured and rely on BOA.,4,2026-03-19,BOA
Nice App,5,2026-03-19,BOA
Good,1,2026-03-18,BOA
very good app,5,2026-03-18,BOA
good to use,5,2026-03-18,BOA
excellent!,5,2026-03-18,BOA
Thanks bank of Abisiniya,5,2026-03-17,BOA
good ap,5,2026-03-17,BOA
Very nice application,5,2026-03-17,BOA
the BoA is the smartest app,5,2026-03-17,BOA
Wow!!,5,2026-03-17,BOA
v.good,5,2026-03-17,BOA
very excellent and truth application.,5,2026-03-17,BOA
"All problems are fixed now , easy to use recommended.",5,2026-03-17,BOA
it is slow app pls update more,5,2026-03-17,BOA
amazing app ever,5,2026-03-17,BOA
It did not work at all for me,1,2026-03-17,BOA
besat🥰,4,2026-03-17,BOA
amazing 😄 service I appreciate it,5,2026-03-17,BOA
no limit app,5,2026-03-17,BOA
Very excayeted and degjetalization more accecing to any markate enabled servece also hamble so more atande,4,2026-03-16,BOA
Best !,5,2026-03-16,BOA
the app is always full of bugs and I don't know why they don't even try to fix them it's been like this for years it's always unstable,1,2026-03-16,BOA
fast app,5,2026-03-16,BOA
very good service,3,2026-03-16,BOA
lovely app,5,2026-03-16,BOA
"BoA easily accessible, fast with best service, Go ahead",5,2026-03-16,BOA
its so amazing,5,2026-03-16,BOA
Now this bank is among those Ethiopian banks with best mobile banking. N.B I will give 5 star if the app asks a PIN before completing transaction.,4,2026-03-16,BOA
love BOA,1,2026-03-15,BOA
i like,5,2026-03-14,BOA
it stucks and jumps out,1,2026-03-13,BOA
ማስተዋልይርሳው,5,2026-03-11,BOA
1 ደኛ,5,2026-03-11,BOA
considering the fact that bank is huge this app really bad you could do better,1,2026-03-10,BOA
fast security 🔥🔥🔥,5,2026-03-07,BOA
100% 😱😱,5,2026-03-07,BOA
doesn't work.,1,2026-03-06,BOA
atdtd,1,2026-03-03,BOA
Its so boaring app I ever had....please review and fix z deficulties,1,2026-03-03,BOA
ፈት አፈዘ,1,2026-03-03,BOA
profesionl,5,2026-03-02,BOA
very nice,5,2026-03-01,BOA
no app,1,2026-03-01,BOA
BOA mobile app,5,2026-02-28,BOA
"Good App But big problem with Trasfer to other Bank im send some money to other bank still not reach it ,it's take time around two days",4,2026-02-27,BOA
Use the best bank account ✅👌👌👌,5,2026-02-25,BOA
well app,5,2026-02-24,BOA
"balance sync is working after 24 hours, frequently stop working for the last 4 yrs, boring update released, very poor service",2,2026-02-23,BOA
Excellent service thanks,5,2026-02-20,BOA
it crush every time you opend it it is hard to pay quickly or to access,1,2026-02-17,BOA
it is a best app,5,2026-02-16,BOA
"this app is useless, i try to use it but the app crash and log me out and this is happen again and again. i thought they will fix it on update but there is no update.",1,2026-02-15,BOA
"It’s very hard, it’s not working.👎👎",1,2026-02-11,BOA
some time the app would have been a problem to open,5,2026-02-10,BOA
Its not work accurately please improve your mobile banking,1,2026-02-03,BOA
the most doagusting app from ethiopian banking especially on weekdenda🤮🤮🤮🤮🤮🤮🤮,1,2026-02-02,BOA
wondo mechesa,5,2026-01-31,BOA
good but the user interface and animations need some upgrade,4,2026-01-31,BOA
what is wrong these app ?,1,2026-01-30,BOA
unsatisfied to your mobile banking application,5,2026-01-28,BOA
"Whenever I want to see my balance, the app says “no” and logs me out. Looks like the developer doesn’t want customers to know the truth 😄! This app really protects my money. It logs me out before I can even see my balance. 👉 Honestly, this app doesn’t reflect the quality of Bank of Abyssinia.",3,2026-01-26,BOA
"BoA Mobile is boring, imagine if you install it to your phone it crash when once used and require reinstall. I downloaded ten times but it still crashing.",1,2026-01-25,BOA
እሽቱ,5,2026-01-24,BOA
very clumsy application. it sucks alot.,1,2026-01-23,BOA
so perfect in everything,5,2026-01-22,BOA
yse good ap,5,2026-01-22,BOA
the worst Mobile banking app👎👎👎👎,1,2026-01-22,BOA
እየሩስ ፣አይለ፣,1,2026-01-20,BOA
very Good application,4,2026-01-14,BOA
app doesnt work,1,2026-01-10,BOA
it's too slow and when you are in a hurry don't use this app,1,2026-01-10,BOA
The worest app ever .work hard and do betterthan this,1,2026-01-09,BOA
The app is always glitch seems there's is significant issue from the backend. Can someone take a look on this or just remove from appstore this trash 🗑 🙄. Thank you.,1,2026-01-07,BOA
n m ű,3,2026-01-06,BOA
so good,5,2026-01-06,BOA
my app is not working .,1,2026-01-06,BOA
"Problems with internet, the app sometimes says there is no internet connection while Internet Data is on. this needs to be fixed, it's unacceptable not being able to access your bank account when you need it.",1,2026-01-05,BOA
"There's only one word to describe BOA mobile banking app, and it's 'እንጨት'. It's been the worst experience and it's continuing to be so.",1,2026-01-04,BOA
not good update it again,1,2026-01-04,BOA
the app not works on samsung galaxy A06 models it's directly kick you out of the app whenever u want to use it amd and then it's says the app is not working i hope they fix it soon,2,2026-01-04,BOA
The worest banking app i ever used,1,2026-01-03,BOA
"This app is the worst app I've ever seen. Unless the developer fixes it, BOA will lose all its customers.",1,2026-01-02,BOA
yetemeta app nw cherash nw apk west maygebawu beza sebeb absiniya tesenabichalewu,1,2026-01-01,BOA
ደገፉ ፈፊኘየየከ ወግወ ደገፉ,5,2025-12-31,BOA
good 👍👍👍,5,2025-12-27,BOA
best digital financing app in ethiopia,5,2025-12-26,BOA
wooow,5,2025-12-26,BOA
very good to be continued to update,5,2025-12-24,BOA
የአቢሲኒያ ባንክ app,5,2025-12-22,BOA
አፕሊኬሽኑ መጨረሻ ቀርፋፋ ነው:: 2G,1,2025-12-21,BOA
"what is this the 19 century 😡,we can't even see our balance,this app is going backwards 😤",1,2025-12-21,BOA
The worst Mobile banking app in Ethiopia,1,2025-12-20,BOA
great,5,2025-12-18,BOA
Applicationa kerem delile,5,2025-12-18,BOA
fast,5,2025-12-17,BOA
😍,5,2025-12-15,BOA
WE EXPECT IT WILL BE MORE AND MORE FASTER THAN EARLIER!,5,2025-12-13,BOA
Amazing App 👏,5,2025-12-12,BOA
Niec app,5,2025-12-12,BOA
best app of the year,5,2025-12-12,BOA
waw,2,2025-12-12,BOA
it constantly bugs and doesnt open what is the purpose of mobile banking app if i dont use it when i need it?,1,2025-12-12,BOA
🔥🔥,5,2025-12-10,BOA
"please fix the bug this app does not work, it says Error The request was not successful. Please check device connectivity or try again.",1,2025-12-05,BOA
not bad,3,2025-12-04,BOA
nice banking,5,2025-12-02,BOA
what a bad app... cant even learn from CBE ... how can they even improve?,1,2025-12-02,BOA
it stuck everytime when i use it . the app won't budge to even open,1,2025-12-02,BOA
i don't find it good and now it is not working!,1,2025-12-01,BOA
Make the reason we wrote visible on app transaction.,2,2025-12-01,BOA
app is note active working crash,1,2025-11-30,BOA
🙏👍,5,2025-11-29,BOA
Very Good,5,2025-11-28,BOA
goof,5,2025-11-28,BOA
bad exprience...it is so crushed,1,2025-11-27,BOA
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26,BOA
ምንም የማይ ሰራ,1,2025-11-26,BOA
most of the time is not working properly,1,2025-11-25,BOA
good service,5,2025-11-25,BOA
not use for me,3,2025-11-23,BOA
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA
it is a good app,5,2025-11-18,BOA
it is not working at all,1,2025-11-15,BOA
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA
fast and simple,5,2025-11-11,BOA
best of best,5,2025-11-10,BOA
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,BOA
Best app,5,2025-11-07,BOA
"Barely works, it always fails to connect",1,2025-11-07,BOA
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA
I like,5,2025-11-02,BOA
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,BOA
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA
"the worst app ever,",1,2025-10-30,BOA
better,5,2025-10-29,BOA
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA
this app can't open? what is problem? please solve my problem?,1,2025-10-28,BOA
kiyaa makonn,5,2025-10-27,BOA
very very lazy app,1,2025-10-26,BOA
telebirr remittance,5,2025-10-24,BOA
The best bank in 🇪🇹,5,2025-10-23,BOA
the worst app in my financial experience.,1,2025-10-22,BOA
good for mb appliciation,5,2025-10-21,BOA
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA
try to easy network,4,2025-10-17,BOA
hussen hassen umer,5,2025-10-16,BOA
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,BOA
an exceptional banking app.,5,2025-10-16,BOA
alhamdulilah,5,2025-10-11,BOA
poor,5,2025-10-11,BOA
Best of best,5,2025-10-09,BOA
from the last week updates the app is not working Please check the problems,1,2025-10-08,BOA
It's always crushing,1,2025-10-08,BOA
office branches have to improve their services please,4,2025-10-07,BOA
♥️♥️,5,2025-10-05,BOA
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,BOA
it needs a timely update,5,2025-10-03,BOA
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,BOA
Like,5,2025-10-01,BOA
I can't type my otp on it.,1,2025-10-01,BOA
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,BOA
jaajja,4,2025-09-30,BOA
I love this bank the best experience ever.,5,2025-09-28,BOA
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,BOA
Great,5,2025-09-20,BOA
mobile banking,5,2025-09-19,BOA
😎,5,2025-09-18,BOA
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,BOA
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,BOA
none,5,2025-09-14,BOA
very good app i ever used,5,2025-09-12,BOA
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,BOA
zedo,5,2025-09-11,BOA
please open my mobile app,5,2025-09-10,BOA
it doesn't open,1,2025-09-10,BOA
Best banking transaction application in Ethiopia !,5,2025-09-05,BOA
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,BOA
tamaam kamal,1,2025-09-04,BOA
በጣም ሐሪፍ,5,2025-09-03,BOA
great 👍,5,2025-09-02,BOA
absiniya banki,5,2025-08-29,BOA
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,BOA
One of the best in this business,5,2025-08-25,BOA
Excellent,5,2025-08-20,BOA
unlimited experience,5,2025-08-18,BOA
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,BOA
very nice mobile banking app my favourite,5,2025-08-16,BOA
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,BOA
best apps,5,2025-08-15,BOA
the worst app ever to exist in a bank history,1,2025-08-15,BOA
thank you,5,2025-08-14,BOA
Best mobile app in the country,5,2025-08-14,BOA
not fast,2,2025-08-12,BOA
keeps freezing at the front page.,1,2025-08-10,BOA
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,BOA
abseniya bank app,5,2025-08-08,BOA
yes goode app,5,2025-08-03,BOA
Great App,5,2025-08-02,BOA
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,BOA
ረጀብነሱ,1,2025-07-31,BOA
The Worst Mobile Banking App.,1,2025-07-31,BOA
giod,5,2025-07-30,BOA
best bank in ethiopia,5,2025-07-29,BOA
waqayyoo,5,2025-07-28,BOA
please is not working,2,2025-07-27,BOA
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,BOA
I can log in from any where,5,2025-07-23,BOA
😇,3,2025-07-21,BOA
no proplem,5,2025-07-20,BOA
excellent app,5,2025-07-18,BOA
good work,5,2025-07-15,BOA
☹️,5,2025-07-15,BOA
excellent,5,2025-07-14,BOA
Great BoA,5,2025-07-14,BOA
Okay,4,2025-07-13,BOA
not working,1,2025-07-12,BOA
This App is Getting worse and worse with every update,2,2025-07-11,BOA
ምርጥ ነው,1,2025-07-10,BOA
meku,5,2025-07-07,BOA
awasome app go a head,5,2025-07-04,BOA
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,BOA
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA
amazing Banks App👌👌,3,2025-06-25,BOA
good App fore me,5,2025-06-25,BOA
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,BOA
fantastic,5,2025-06-22,BOA
👍,4,2025-06-21,BOA
it's nice to use.,5,2025-06-21,BOA
app doesn't start,1,2025-06-21,BOA
Excellent application,5,2025-06-18,BOA
its very bad app its very slow,1,2025-06-17,BOA
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,BOA
Good job!,5,2025-06-13,BOA
best financial app.,5,2025-06-12,BOA
ቆንጆ ነው በርቱ,5,2025-06-11,BOA
the worst app humans ever created,1,2025-06-09,BOA
it's not working,3,2025-06-05,BOA
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA
exceptional,5,2025-06-03,BOA
BoA Mobile good bank,5,2025-06-02,BOA
this is worest app 24/7 loading,1,2025-06-01,BOA
BoA system is confartable,5,2025-06-01,BOA
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA
Good service.,3,2025-05-25,BOA
the app crush frequently,1,2025-05-24,BOA
You guys keeps getting worst,1,2025-05-22,BOA
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA
BoA,2,2025-05-20,BOA
but not opening on android,4,2025-05-19,BOA
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA
